name,party,constituency,county,status,gender,image_local_path
"HON. NDUNG’U, GEORGE KOIMBURI",UDA,JUJA,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NDUNGU_GEORGE_KOIMBURI.webp
HON. NGANGA ALICE WAMBUI,UDA,THIKA TOWN,KIAMBU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGANGA_ALICE_WAMBUI.webp
HON. NGIKOLONG NICHOLAS NGIKOR NIXON,JP,TURKANA EAST,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGIKOLONG_NICHOLAS_NGIKOR_NIXON.webp
"HON. NGUNA, NGUSYA CHARLES",WDM,MWINGI WEST,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGUNA_NGUSYA_CHARLES.webp
HON. NGURO ONESMUS NGOGOYO,UDA,KAJIADO NORTH,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGURO_ONESMUS_NGOGOYO.webp
HON. NJOROGE MARY WAMAUA WAITHIRA,UDA,MARAGWA,MURANG'A,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NJOROGE_MARY_WAMAUA_WAITHIRA.webp
HON. NTUTU KITILAI OLE,IND,NAROK SOUTH,NAROK,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NTUTU_KITILAI_OLE.webp
HON. NTWIGA PATRICK MUNENE,UDA,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NTWIGA_PATRICK_MUNENE.webp
HON. NYAKUNDI JAPHETH MOKAYA,UDA,KITUTU CHACHE NORTH,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAKUNDI_JAPHETH_MOKAYA.webp
HON. NYAMAI RACHAEL KAKI,JP,KITUI SOUTH,KITUI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMAI_RACHAEL_KAKI.webp
HON. NYAMITA MARK OGOLLA,ODM,URIRI,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMITA_MARK_OGOLLA.webp
"HON. NYAMOKO, JOASH NYAMACHE",UDA,NORTH MUGIRANGO,NYAMIRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMOKO_JOASH_NYAMACHE.webp
HON. NYENZE EDITH VETHI,WDM,KITUI WEST,KITUI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYENZE_EDITH_VETHI.webp
HON. NYIKAL WAMBURA JAMES,ODM,SEME,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYIKAL_WAMBURA_JAMES.webp
"HON. NYORO, SAMSON NDINDI",UDA,KIHARU,MURANG’A,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYORO_SAMSON_NDINDI.webp
"HON. NZENGU, PAUL MUSYIMI",WDM,MWINGI NORTH,MWINGI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NZENGU_PAUL_MUSYIMI.webp
HON. NZIOKA ERASTUS KIVASU,WDM,MBOONI,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NZIOKA_ERASTUS_KIVASU.webp
HON. OBARA EVE AKINYI,ODM,KABONDO KASIPUL,HOMA BAY,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBARA_EVE_AKINYI.webp
"HON. OBIRI, INNOCENT MOMANYI",WDM,BOBASI,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBIRI_INNOCENT_MOMANYI.webp
HON. OBO RUWEIDA MOHAMED,JP,LAMU EAST,LAMU,,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBO_RUWEIDA_MOHAMED.webp
