name,county,party,status,gender,local_image_path
Mutinda Maureen Tabitha,Nominated,UDA,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Mutinda_Maureen_Tabitha.webp
Mwaruma Johnes M,Taita Taveta,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Mwaruma_Johnes_M.webp
Mwenda Gataya Mo Fire,Tharaka-Nithi,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Mwenda_Gataya_Mo_Fire.webp
Nderitu John Kinyua,Laikipia,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Nderitu_John_Kinyua.png
Nyamu Karen Njeri,Nominated,UDA,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Nyamu_Karen_Njeri.png
Oginga Oburu,Siaya,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Oginga_Oburu.webp
Oketch Eddy Gicheru,Migori,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Oketch_Eddy_Gicheru.webp
Okoiti Andrew Omtatah,Busia,NRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Okoiti_Andrew_Omtatah.webp
Olekina Ledama,Narok,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Olekina_Ledama.webp
Omar Mariam Sheikh,Nominated,UDM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Omar_Mariam_Sheikh.webp
Onyonka Richard Momoima,Kisii,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Onyonka_Richard_Momoima.webp
Osotsi Godfrey Atieno,Vihiga,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Osotsi_Godfrey_Atieno.jpeg
Pesi Peris Tobiko,Nominated,UDA,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Pesi_Peris_Tobiko.webp
Prof. Margaret Jepkoech Kamar,Nominated,JP,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Prof._Margaret_Jepkoech_Kamar.webp
"Prof. Tom Odhiambo Ojienda, SC, MP",Kisumu,ODM,Elected,male,"https://f003.backblazeb2.com/file/serikali-images/senators/Prof._Tom_Odhiambo_Ojienda%2C_SC%2C_MP.webp"
Recha Julius Murgor,West Pokot,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Recha_Julius_Murgor.webp
Roba Ali Ibrahim,Mandera,UDM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Roba_Ali_Ibrahim.webp
Seki Lenku Ole Kanar,Kajiado,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Seki_Lenku_Ole_Kanar.webp
Veronica Waheti Nduati,Nominated,UDA,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Veronica_Waheti_Nduati.webp
Wakili Hillary Kiprotich Sigei,Bomet,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Wakili_Hillary_Kiprotich_Sigei.webp
Wamatinga Wahome,Nyeri,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Wamatinga_Wahome.webp
Wambua Enoch Kiio,Kitui,WDM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Wambua_Enoch_Kiio.webp
