name,county,party,status,gender,local_image_path,start_date,end_date
Richard Momoima Onyonka,Kisii,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Onyonka_Richard_Momoima.webp,2022,
Godfrey Atieno Osotsi,Vihiga,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Osotsi_Godfrey_Atieno.jpeg,2022,
Ojienda Tom Odhiambo,Kisumu,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Prof._Tom_Odhiambo_Ojienda%2C_SC%2C_MP.webp,2022,
Julius Murgor Recha,West Pokot,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Recha_Julius_Murgor.webp,2022,
Ali Ibrahim Roba,Mandera,UDM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Roba_Ali_Ibrahim.webp,2022,
Lenku Ole Kanar Seki,Kajiado,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Seki_Lenku_Ole_Kanar.webp,2022,
Kiprotich Sigei Wakili Hillary,Bomet,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Wakili_Hillary_Kiprotich_Sigei.webp,2022,
Wahome Wamatinga,Nyeri,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Wamatinga_Wahome.webp,2022,
Enoch Kiio Wambua,Kitui,WDM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Wambua_Enoch_Kiio.webp,2022,
William Cheptumo Kipkorir,Baringo,UDA,Elect,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/William_Cheptumo_Kipkorir.webp,2022,2025
