County Code,County Name,Const. Code,Const. Name,CAW Code,CAW Name,Name,Political Party Name,Party Abbrev,image_url
26,Transzoia,139,Kiminini,693,Nabiswa,Martin Simiyu Jamanuru,Democratic Action Party - Kenya,DAP-K,5366
26,Trans Nzoia,140,Cherangany,694,Sinyerere,John Makhanu Chingi,Democratic Action Party-Kenya,DAP-K,3385
26,Trans Nzoia,140,Cherangany,695,Makutano,Emily Chepchirchir Rono,Independent,IND,2228
26,Trans Nzoia,140,Cheranagany,696,Kaplamai,Daniel Kiprugut Mosbei,United Democratic Alliance,UDA,2926
26,Trans Nzoia,140,Cherangany,697,Motosiet,Jacquiline Kurgat,United Democratic Alliance,UDA,5897
26,Trans Nzoia,140,Cherangany,698,Cherangany/Suw erwa,Edwin Kosgei Koech,United Democratic Alliance,UDA,5522
26,Trans Nzoia,140,Cherangany,699,Chepsiro/Kiptoro r,Abraham Kipchumba Kirwa Birir,United Democratic Alliance,UDA,3481
26,Trans Nzoia,140,Cherangany,700,Sitatunga,Simon Murei Tanui,United Democratic Alliance,UDA,4303
27,Uasin Gishu,141,Soy,701,Mo's Bridge,Patrick Kimeli Kimaiyo,Independent,IND,4138
27,Uasin Gishu,141,Soy,702,Kapkures,David Kiptoo Tarus,United Democratic Alliance,UDA,3164
27,Uasin Gishu,141,Soy,703,Ziwa,Ngeti Ezekiel Kodi,United Democratic Alliance,UDA,11144
27,Uasin Gishu,141,Soy,704,Segero/Barsombe,Nathan Malamoch Maina,United Democratic Alliance,UDA,7148
27,Uasin Gishu,141,Soy,705,Kipsomba,Mary Goretti Boroswa,United Democratic Alliance,UDA,4652
27,Uasin Gishu,141,Soy,706,Soy,Chirchir Isaack Kiptanui,United Democratic Alliance,UDA,4704
27,Uasin Gishu,141,Soy,707,Kuinet/Kapsuswa,Sugut Rebecca Chepchirchir,United Democratic Alliance,UDA,8164
27,Uasin Gishu,142,Turbo,708,Ngenyilel,Benjamin Kimeli Natui,United Democratic Alliance,UDA,5856
27,Uasin Gishu,142,Turbo,709,Tapsagoi,Nicholas Kipruto Bitok,United Democratic Alliance,UDA,11233
27,Uasin Gishu,142,Turbo,710,Kamagut,Samuel Kipsang Sawe,United Democratic Alliance,UDA,9952
27,Uasin Gishu,142,Turbo,711,Kiplombe,Gilbert Kipchumb Lagat,United Democratic Alliance,UDA,9534
27,Uasin Gishu,142,Turbo,712,Kapsaos,Isaac Kibet Samoei,United Democratic Alliance,UDA,3961
27,Uasin Gishu,142,Turbo,713,Huruma,Peter Kimani Wanjohi,Jubilee Pary,JP,8003
27,Uasin Gishu,143,Moiben,714,Tembelio,Evans Kipruto Kapkea,United Democratic Alliance,UDA,8967
27,Uasin Gishu,143,Moiben,715,Sergoit,David Biwott Keitany,United Democratic Alliance,UDA,7090
27,Uasin Gishu,143,Moiben,716,Karuna/ Meibeki,James Kiprotich Serem,United Democratic Alliance,UDA,8684
27,Uasin Gishu,143,Moiben,717,Moiben,Hillary Kipchumba Toroitich,United Democratic Alliance,UDA,6952
27,Uasin Gishu,143,Moiben,718,Kimumu,Sarah Jelagat Malel,United Democratic Alliance,UDA,11915
27,Uasin Gishu,144,Ainabkoi,719,Kapsoya,Isaack Kirwa Kemboi,United Democratic Alliance,UDA,6877
27,Uasin Gishu,144,Ainabkoi,720,Kaptagat,Jonathan Kiprop Ngetich,United Democratic Alliance,UDA,8242
27,Uasin Gishu,144,Ainabkoi,721,Ainabkoi/ Olare,Gilbert Kiptoo Chepkonga,United Democratic Alliance,UDA,8202
27,Uasin Gishu,145,Kapseret,722,Simat/ Kapseret,Moses Kipchumba Kebeney,United Democratic Alliance,UDA,10210
27,Uasin Gishu,145,Kapseret,723,Kipkenyo,David Kimeli Letting,United Democratic Alliance,UDA,5004
27,Uasin Gishu,145,Kapseret,724,Ngeria,Richard Kipkirong Kering,United Democratic Alliance,UDA,4738
27,Uasin Gishu,145,Kapseret,725,Megun,Julius Kibet Sang,United Democratic Alliance,UDA,4351
27,Uasin Gishu,145,Kapseret,726,Langas,Francis Muya Mwangi,Jubilee Party,JP,5859
27,Uasin Gishu,146,Kesses,727,Racecourse,Amos Kimeli Kiptanui,United Democratic Alliance,UDA,9431
27,Uasin Gishu,146,Kesses,728,Cheptiret/ Kipchamo,Gilbert Kipsang Koskei,Independent,IND,6638
