name,party,constituency,county,status,gender,image_local_path,start_date,end_date
VICTOR KIPNGETICH KOECH,CCM,CHEPALUNGU,BOMET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOECH_KIPNGETICH_VICTOR.webp,2022,
NELSON KOECH,UDA,BELGUT,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOECH_NELSON.webp,2022,
HARRISON GARAMA KOMBE,ODM,MAGARINI,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOMBE_HARRISON_GARAMA.webp,2022,
KIBET KIRUI KOMINGOI,UDA,BURETI,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOMINGOI_KIBET_KIRUI.webp,2022,
SARAH PAULATA KORERE,JP,LAIKIPIA NORTH,LAIKIPIA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KORERE_SARAH_PAULATA.webp,2022,
ADAMS KIPSANAI KORIR,UDA,KEIYO NORTH,ELGEYO-MARAKWET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KORIR_ADAMS_KIPSANAI.webp,2022,
HILARY KIPLANG'AT KOSGEI,UDA,KIPKELION WEST,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOSGEI_HILARY_KIPLANGAT.webp,2022,
JOHN WALUKE KOYI,JP,SIRISIA,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KOYI_JOHN_WALUKE.webp,2022,
YAKUB DUBOW KUNO,UPIA,BURA,TANA RIVER,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KUNO_YAKUB_ADOW.webp,2022,
ELIJAH NJORE NJOROGE KURURIA,IND,GATUNDU NORTH,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KURURIA_ELIJAH_NJORE_NJOROGE.webp,2022,
JOSEPH LEKUTON,UDM,LAISAMIS,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LEKUTON_JOSEPH.webp,2022,
JOSSES KIPTOO KOSGEY LELMENGIT,UDA,EMGWEN,NANDI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LELMENGIT_JOSSES_KIPTOO_KOSGEY.webp,2022,
LEMANKEN ARAMAT,UDA,NAROK EAST,NAROK,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LEMANKEN_ARAMAT.webp,2022,
JACKSON LEKUMONTARE LENTOIJONI,KANU,SAMBURU EAST,SAMBURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LENTOIJONI_JACKSON_LEKUMONTARE.webp,2022,
JOSEPHINE NAISULA LESUUDA,KANU,SAMBURU WEST,SAMBURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LESUUDA_NAISULA.webp,2022,
DOMINIC ELI LETIPILA,UDA,SAMBURU NORTH,SAMBURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LETIPILA_DOMINIC_ELI.webp,2022,
PETER LOCHAKAPONG,UDA,SIGOR,WEST POKOT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LOCHAKAPONG_PETER.webp,2022,
JOSEPH SAMAL LOMWA,JP,ISIOLO NORTH,ISIOLO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LOMWA_JOSEPH_SAMAL.webp,2022,
TITUS LOTEE,KUP,KACHELIBA,WEST POKOT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LOTEE_TITUS.webp,2022,
CALEB AMISI LUYAI,ODM,SABOTI,TRANS-NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_LUYAI_CALEB_AMISI.webp,2022,
FARAH MAALIM,WDM,DADAAB,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAALIM_FARAH.webp,2022,
MOHAMED SOUD MACHELE,ODM,MVITA,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MACHELE_MOHAMED_SOUD.webp,2022,
MARY MAINGI,UDA,MWEA,KIRINYAGA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAINGI_MARY.webp,2022,
MAISORI MARWA KITAYAMA KEMERO,UDA,KURIA EAST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAISORI_MARWA_KEMERO_KITAYAMA.webp,2022,
JOSEPH SIMIYU WEKESA MAJIMBO KALASINGA,FORD-K,KABUCHAI,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAJIMBO_KALASINGA.webp,2022,
JOHN OKWISIA MAKALI,FORD-K,KANDUYI,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAKALI_JOHN_OKWISIA.webp,2022,
DANIEL OGWOKA MANDUKU,ODM,NYARIBARI MASABA,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MANDUKU_DANIEL_OGWOKA.webp,2022,
PETER FRANCIS MASARA,ODM,SUNA WEST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MASARA_PETER_FRANCIS.webp,2022,
DUNCAN MAINA MATHENGE,UDA,NYERI TOWN,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MATHENGE_DUNCAN_MAINA.webp,2022,
JULIUS MUSILI MAWATHE,WDM,EMBAKASI SOUTH,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/MAWETHE_JULIUS_MUSILI.png,2022,
NIMROD MBITHUKA MBAI,UDA,KITUI EAST,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBAI_NIMROD_MBITHUKA.webp,2022,
JESSICA NDUKU KIKO MBALU,WDM,KIBWEZI EAST,MAKUENI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBALU_JESSICA_NDUKU_KIKO.webp,2022,
DAVID MWALIKA MBONI,WDM,KITUI RURAL,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBONI_DAVID_MWALIKA.webp,2022,
ROBERT MBUI,WDM,KATHIANI,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBUI_ROBERT.webp,2022,
JULIUS MELI KIPBIWOT,UDA,TINDERET,NANDI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MELI_JULIUS_KIPBIRWOT.webp,2022,
AMINA LAURA MNYAZI,ODM,MALINDI,KILIFI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MNYAZI_AMINA_LAURA.webp,2022,
STEPHEN M MOGAKA,JP,WEST MUGIRANGO,NYAMIRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOGAKA_STEPHEN.webp,2022,
ABDIKADIR HUSSEIN MOHAMED,ODM,LAGDERA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_ABDIKADIR_HUSSEIN.webp,2022,
ADEN DAUDI MOHAMED,JP,WAJIR EAST,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_ADEN_DAUDI.webp,2022,
MOHAMED ALI MOHAMED,UDA,NYALI,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_MOHAMED_ALI.webp,2022,
IRENE NJOKI MREMBO,JP,BAHATI,NAKURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MREMBO_IRENE_NJOKI.webp,2022,
MICHAEL MWANGI MUCHIRA,UDA,OL JOROK,NYANDARUA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUCHIRA_MICHAEL_MWANGI.webp,2022,
INNOCENT MAINO MUGABE,ODM,LIKUYANI,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUGABE_INNOCENT_MAINO.webp,2022,
WANJIKU MUHIA,UDA,KIPIPIRI,NYANDARUA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUHIA_WANJIKU.webp,2022,
TITUS KHAMALA MUKHWANA,ODM,LURAMBI,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUKHWANA_TITUS_KHAMALA.webp,2022,
JOHN GITONGA MWANIKI MUKUNJI,UDA,MANYATTA,EMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUKUNJI_JOHN_GITONGA_MWANIKI.webp,2022,
GEOFFREY EKESA MULANYA,IND,NAMBALE,BUSIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULANYA_EKESA_GEOFFREY.webp,2022,
CALEB MUTISO MULE,MCCP,MACHAKOS TOWN,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULE_CALEB_MUTISO.webp,2022,
STEPHEN MUTINDA MULE,WDM,MATUNGULU,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULE_STEPHEN_MUTINDA.webp,2022,
